id,name,party,chamber,state,district,start,end
M000433,Robert McEwen,Republican,rep,NY,30,1979-01-15,1981-01-03
M000930,William Moorhead,Democrat,rep,PA,14,1979-01-15,1981-01-03
M001101,Morgan Murphy,Democrat,rep,IL,2,1979-01-15,1981-01-03
N000019,Lucien Nedzi,Democrat,rep,MI,14,1979-01-15,1981-01-03
P000106,Edward Patten,Democrat,rep,NJ,15,1979-01-15,1981-01-03
S000070,David Satterfield,Democrat,rep,VA,3,1979-01-15,1981-01-03
S000217,Keith Sebelius,Republican,rep,KS,1,1979-01-15,1981-01-03
S000829,Thomas Steed,Democrat,rep,OK,4,1979-01-15,1981-01-03
S000778,Harley Staggers,Democrat,rep,WV,2,1979-01-15,1981-01-03
T000393,Paul Tsongas,Democrat,sen,MA,N/A,1979-01-15,1985-01-03
W000610,Robert Wilson,Republican,rep,CA,41,1979-01-15,1981-01-03
W000780,John Wydler,Republican,rep,NY,5,1979-01-15,1981-01-03
W000777,Joseph Wyatt,Democrat,rep,TX,14,1979-01-15,1981-01-03
A000009,James Abdnor,Republican,sen,SD,N/A,1981-01-05,1987-01-03
B000472,Jonathan Bingham,Democrat,rep,NY,22,1981-01-05,1983-01-03
B000682,David Bowen,Democrat,rep,MS,2,1981-01-05,1983-01-03
B000605,Richard Bolling,Democrat,rep,MO,5,1981-01-05,1983-01-03
B000862,William Brodhead,Democrat,rep,MI,17,1981-01-05,1983-01-03
B001153,John Burton,Democrat,rep,CA,5,1981-01-05,1983-01-03
B000839,Jack Brinkley,Democrat,rep,GA,3,1981-01-05,1983-01-03
B001080,Clair Burgener,Republican,rep,CA,43,1981-01-05,1983-01-03
B001182,Manley Butler,Republican,rep,VA,6,1981-01-05,1983-01-03
C000371,Shirley Chisholm,Democrat,rep,NY,12,1981-01-05,1983-01-03
C000158,Gregory Carman,Republican,rep,NY,3,1981-01-05,1983-01-03
F000319,Lawrence Fountain,Democrat,rep,NC,2,1981-01-05,1983-01-03
H000719,Kenneth Holland,Democrat,rep,SC,5,1981-01-05,1983-01-03
J000074,James Jeffries,Republican,rep,KS,2,1981-01-05,1983-01-03
M000241,Charles Mathias,Republican,sen,MD,N/A,1981-01-05,1987-01-03
M000136,Marc Marks,Republican,rep,PA,24,1981-01-05,1983-01-03
M000808,Donald Mitchell,Republican,rep,NY,31,1981-01-05,1983-01-03
M000340,Robert McClory,Republican,rep,IL,13,1981-01-05,1983-01-03
M000845,Robert Mollohan,Democrat,rep,WV,1,1981-01-05,1983-01-03
R000165,Henry Reuss,Democrat,rep,WI,5,1981-01-05,1983-01-03
R000188,John Rhodes,Republican,rep,AZ,1,1981-01-05,1983-01-03
S000804,John Stanton,Republican,rep,OH,11,1981-01-05,1983-01-03
W000390,Richard White,Democrat,rep,TX,16,1981-01-05,1983-01-03
C000356,Lawton Chiles,Democrat,sen,FL,N/A,1983-01-03,1989-01-03
C000356,Lawton Chiles,Democrat,sen,FL,N/A,1983-01-03,1989-01-03
S000852,John Stennis,Democrat,sen,MS,N/A,1983-01-03,1989-01-03
W000253,Lowell Weicker,Republican,sen,CT,N/A,1983-01-03,1989-01-03
B000298,Berkley Bedell,Democrat,rep,IA,6,1985-01-03,1987-01-03
C000079,Carroll Campbell,Republican,rep,SC,4,1985-01-03,1987-01-03
C000165,William Carney,Republican,rep,NY,1,1985-01-03,1987-01-03
C000322,Eugene Chappie,Republican,rep,CA,2,1985-01-03,1987-01-03
E000259,Thomas Evans,Republican,rep,IA,3,1985-01-03,1987-01-03
F000430,Don Fuqua,Democrat,rep,FL,2,1985-01-03,1987-01-03
H000624,Elwood Hillis,Republican,rep,IN,5,1985-01-03,1987-01-03
H000747,Marjorie Holt,Republican,rep,MD,4,1985-01-03,1987-01-03
L000411,Catherine Long,Democrat,rep,LA,8,1985-01-03,1987-01-03
M000512,John McKernan,Republican,rep,ME,1,1985-01-03,1987-01-03
M000826,Parren Mitchell,Democrat,rep,MD,7,1985-01-03,1987-01-03
M000860,David Monson,Republican,rep,UT,2,1985-01-03,1987-01-03
O000098,Thomas O’Neill,Democrat,rep,MA,8,1985-01-03,1987-01-03
R000495,Eldon Rudd,Republican,rep,AZ,4,1985-01-03,1987-01-03
S000230,John Seiberling,Democrat,rep,OH,14,1985-01-03,1987-01-03
S000669,Marion Snyder,Republican,rep,KY,4,1985-01-03,1987-01-03
W000227,James Weaver,Democrat,rep,OR,4,1985-01-03,1987-01-03
W000406,George Whitehurst,Republican,rep,VA,2,1985-01-03,1987-01-03
W000419,Charles Whitley,Democrat,rep,NC,3,1985-01-03,1987-01-03
A000031,Brockman Adams,Democrat,sen,WA,N/A,1987-01-06,1993-01-03
C000877,Alan Cranston,Democrat,sen,CA,N/A,1987-01-06,1993-01-03
G000400,Kenneth Gray,Democrat,rep,IL,22,1987-01-06,1989-01-03
K000019,Robert Kasten,Republican,sen,WI,N/A,1987-01-06,1993-01-03
